id,keyword,idioma,familia,intencio,plataformes,url_objectiu,prioritat,rival_previst
K033,academia de basquet Barcelona,ca,ACADEMIA,descobriment,G+IA,/,1,academies privades + Pau Gasol Academy
K034,academia de baloncesto Barcelona,es,ACADEMIA,descobriment,G+IA,/,1,academies privades + Pau Gasol Academy
K035,academia de baloncesto en Barcelona precio,es,ACADEMIA,transaccional,G+IA,/campus/,2,academies de pagament
K036,tecnificacio basquet Barcelona,ca,ACADEMIA,descobriment,G+IA,/campus/,2,academies + campus
K037,tecnificacion baloncesto Barcelona,es,ACADEMIA,descobriment,G+IA,/campus/,2,academies + campus
K038,escola club o academia de basquet,ca,ACADEMIA,informacional,G+IA,/blog/com-triar-escola-basquet-barcelona/,1,blogs esportius
K039,campus de basquet Barcelona,ca,CAMPUS,transaccional,G+IG+TT+IA,/campus/,1,campus nacionals + Barca Campus
K040,campus de baloncesto Barcelona,es,CAMPUS,transaccional,G+IG+TT+IA,/campus/,1,campus nacionals + Pau Gasol
K041,campus basquet estiu Barcelona,ca,CAMPUS,transaccional,G+IA,/campus/,1,campus d'estiu + casals
K042,campus baloncesto verano Barcelona,es,CAMPUS,transaccional,G+IA,/campus/,1,campus d'estiu + casals
K043,campus baloncesto ninos Barcelona,es,CAMPUS,transaccional,G+IA,/campus/,1,campus + casals esportius
K044,casal esportiu estiu Barcelona basquet,ca,CAMPUS,transaccional,G+IA,/campus/,2,casals municipals
K045,campus baloncesto Barcelona precio,es,CAMPUS,transaccional,G+IA,/campus/,2,campus de pagament
K046,com triar un campus de basquet,ca,CAMPUS,informacional,G+IA,/blog/campus-basquet-barcelona-guia/,2,blogs + comparadors
K047,basquet femeni Barcelona,ca,FEMENI,descobriment,G+IG+TT+IA,/basquet-femeni/,1,clubs amb seccio femenina + mitjans
K048,baloncesto femenino Barcelona,es,FEMENI,descobriment,G+IG+TT+IA,/es/baloncesto-femenino/,1,clubs + mitjans esportius
K049,club de basquet femeni Barcelona,ca,FEMENI,descobriment,G+IA,/basquet-femeni/,1,clubs amb seccio femenina
K050,basquet per a nenes Barcelona,ca,FEMENI,transaccional,G+IA,/basquet-femeni/,1,clubs + escoles
K051,baloncesto para ninas Barcelona,es,FEMENI,transaccional,G+IA,/es/baloncesto-femenino/,1,clubs + escoles
K052,equip femeni de basquet Barcelona,ca,FEMENI,descobriment,G+IA,/basquet-femeni/,2,clubs de LF2 i Copa Catalunya
K053,clubs amb seccio femenina Barcelona,ca,FEMENI,comparacio,G+IA,/basquet-femeni/,2,clubs + federacio
K054,paritat en clubs esportius,ca,FEMENI,informacional,G+IA,/premidonaesport/,2,institucions + mitjans
K055,womens basketball Barcelona,en,FEMENI,descobriment,G+IA,/en/womens-basketball/,3,clubs + expats
K056,el metode Barna,ca,FEMENI,marca,G+IA,/basquet-femeni/el-metode-barna/,2,cap: terme propi
K057,basquet inclusiu Barcelona,ca,INCLUSIU,descobriment,G+IA,/magics/,1,entitats d'esport adaptat
K058,baloncesto inclusivo Barcelona,es,INCLUSIU,descobriment,G+IA,/magics/,1,entitats d'esport adaptat
K059,basquet per a persones amb discapacitat intel-lectual,ca,INCLUSIU,descobriment,G+IA,/magics/,1,Special Olympics + fundacions
K060,baloncesto adaptado Barcelona,es,INCLUSIU,descobriment,G+IA,/magics/,2,esport adaptat
K061,Barna Magics,ca,INCLUSIU,marca,G+IG+IA,/magics/,1,cap: terme propi
K062,esport inclusiu Sant Marti,ca,INCLUSIU,descobriment,G+IA,/magics/,2,entitats del districte
K063,3x3 Barcelona,ca,3X3,descobriment,G+IG+TT+IA,/3x3/,1,FEB 3x3 + torneigs urbans
K064,torneig 3x3 basquet Barcelona,ca,3X3,transaccional,G+IA,/3x3/,1,torneigs urbans
K065,torneo 3x3 baloncesto Barcelona,es,3X3,transaccional,G+IA,/3x3/,1,torneigs urbans
K066,basquet 3x3 Glories,ca,3X3,transaccional,G+IG,/3x3/,1,Westfield + Time Chamber
K067,que es el basquet 3x3,ca,3X3,informacional,G+IA,/blog/que-es-basquet-3x3/,2,FEB + mitjans
K068,reglas baloncesto 3x3,es,3X3,informacional,G+IA,/blog/que-es-basquet-3x3/,2,FEB + Wikipedia
K069,CB Grup Barna,ca,MARCA,marca,G+IG+TT+IA,/,1,basquetcatala + FCBQ + cbgrupbarna.com
K070,Grup Barna basquet,ca,MARCA,marca,G+IA,/,1,web historica + federacio
K071,Club Basquet Grup Barna,ca,MARCA,marca,G+IA,/,1,enciclopedia.cat + federacio
K072,CB Grup Barna opiniones,es,MARCA,verificacio,G+IA,/opina/,1,Google Maps + directoris
K073,CB Grup Barna ressenyes,ca,MARCA,verificacio,G+IA,/opina/,1,Google Maps
K074,CB Grup Barna equips,ca,MARCA,navegacio,G+IA,/partits/equips/,2,basquetcatala
K075,CB Grup Barna campus,ca,MARCA,navegacio,G+IA,/campus/,2,cap
K076,CB Grup Barna escoleta,ca,MARCA,navegacio,G+IA,/escoleta/,2,cap
K077,CB Grup Barna partits,ca,MARCA,navegacio,G+IA,/partits/,2,basquetcatala
K078,cbgrupbarna,ca,MARCA,navegacio,G+IG+TT,/,2,comptes propis
K079,es bo el CB Grup Barna,ca,MARCA,verificacio,IA,/opina/,1,ressenyes + mitjans
K080,que tal es el CB Grup Barna,es,MARCA,verificacio,IA,/opina/,1,ressenyes + mitjans
K081,a quina edat comencar a jugar a basquet,ca,INFO,informacional,G+IA,/blog/a-quina-edat-comencar-basquet/,1,blogs de salut i esport
K082,a que edad empezar baloncesto,es,INFO,informacional,G+IA,/blog/a-quina-edat-comencar-basquet/,1,blogs + mitjans
K083,com triar un club de basquet per al meu fill,ca,INFO,informacional,G+IA,/blog/com-triar-escola-basquet-barcelona/,1,blogs de families
K084,como elegir club de baloncesto para mi hijo,es,INFO,informacional,G+IA,/blog/com-triar-escola-basquet-barcelona/,1,blogs de families
K085,per que les noies deixen el basquet,ca,INFO,informacional,G+IA,/blog/per-que-les-noies-deixen-el-basquet/,1,mitjans + estudis
K086,por que las ninas dejan el deporte,es,INFO,informacional,G+IA,/blog/per-que-les-noies-deixen-el-basquet/,1,mitjans + estudis
K087,equipacio femenina de basquet,ca,INFO,informacional,G+IA,/blog/equipacio-femenina-basquet/,2,marques esportives
K088,entrenadores de basquet a Barcelona,ca,INFO,informacional,G+IA,/blog/entrenadores-basquet-barcelona/,2,federacio + mitjans
K089,club de basquet segur per a menors,ca,INFO,verificacio,G+IA,/blog/club-basquet-segur-igualtat-families/,1,institucions
K090,proteccio del menor en un club esportiu,ca,INFO,verificacio,G+IA,/proteccio-menor/,1,institucions + federacions
K091,LOPIVI club esportiu,ca,INFO,verificacio,G+IA,/proteccio-menor/,2,institucions + assessories
K092,delegat de proteccio del menor,ca,INFO,verificacio,G+IA,/proteccio-menor/,2,institucions
K093,basquet base al Clot i Sant Marti,ca,INFO,informacional,G+IA,/blog/basquet-base-sant-marti-clot/,2,cap rival clar
K094,basquet femeni a Barcelona dades,ca,INFO,informacional,G+IA,/blog/basquet-femeni-barcelona-0-75-per-cent/,2,mitjans + federacio
K095,calendari partits basquet base Barcelona,ca,COMPETICIO,navegacio,G+IA,/partits/,2,basquetcatala + FCBQ
K096,resultats basquet base Catalunya,ca,COMPETICIO,navegacio,G+IA,/partits/,2,basquetcatala + FEB
K097,Supercopa Catalunya basquet,ca,COMPETICIO,informacional,G+IA,/posicionament/,2,FCBQ + mitjans
K098,partits de basquet base en directe,ca,COMPETICIO,navegacio,G+IA,/partits/,3,MyPlay + federacio
K099,calendari equip cadet femeni Barcelona,ca,COMPETICIO,navegacio,G,/partits/equips/,3,basquetcatala
K100,patrocinar un club esportiu a Barcelona,ca,PATROCINI,transaccional,G+IA,/patrocinadors/,1,agencies + altres clubs
K101,patrocinio deportivo Barcelona,es,PATROCINI,transaccional,G+IA,/patrocinadors/,1,agencies + clubs grans
K102,com patrocinar un club de basquet,ca,PATROCINI,informacional,G+IA,/patrocinadors/,2,agencies
K103,publicitat en clubs esportius de barri,ca,PATROCINI,transaccional,G+IA,/patrocinadors/,2,agencies locals
K104,col-laborar amb un club esportiu Sant Marti,ca,PATROCINI,transaccional,G+IA,/patrocinadors/,2,entitats del districte
K105,Premi Dona i Esport,ca,INSTITUCIONAL,informacional,G+IA,/premidonaesport/,2,FCBQ + institucions
K106,clubs de basquet amb paritat real,ca,INSTITUCIONAL,comparacio,G+IA,/premidonaesport/,2,mitjans + institucions
K107,historia del basquet al Clot,ca,INSTITUCIONAL,informacional,G+IA,/historia/,3,enciclopedia.cat + premsa
K108,entitats esportives del districte de Sant Marti,ca,INSTITUCIONAL,descobriment,G+IA,/club/,3,Ajuntament
K109,60 anys club de basquet Barcelona,ca,INSTITUCIONAL,informacional,G+IA,/historia/,3,premsa local
K110,basquet barcelona,ca,IG-APP,descobriment,IG,perfil @cbgrupbarna,1,clubs + comptes de highlights
K111,baloncesto barcelona,es,IG-APP,descobriment,IG,perfil @cbgrupbarna,1,clubs + academies
K112,basquet clot,ca,IG-APP,descobriment,IG,perfil @cbgrupbarna,1,entitats del barri
K113,basquet base,ca,IG-APP,descobriment,IG,perfil @cbgrupbarna,1,clubs de tot el pais
K114,basquet femeni,ca,IG-APP,descobriment,IG,perfil @cbgrupbarna,1,clubs + jugadores
K115,baloncesto femenino,es,IG-APP,descobriment,IG,perfil @cbgrupbarna,1,clubs + LF Endesa
K116,campus basquet,ca,IG-APP,transaccional,IG,posts de campus,1,campus nacionals
K117,escola basquet nens,ca,IG-APP,transaccional,IG,posts d'escoleta,2,escoles + academies
K118,basquet inclusiu,ca,IG-APP,descobriment,IG,posts de Magics,2,entitats adaptades
K119,3x3 barcelona,ca,IG-APP,descobriment,IG,posts de 3x3,1,torneigs + FEB
K120,somclot,ca,IG-APP,marca,IG,perfil @cbgrupbarna,1,qui mes fa servir el hashtag
K121,cb grup barna,ca,IG-APP,marca,IG,perfil @cbgrupbarna,1,comptes d'equips i jugadors
K122,club basquet barcelona,ca,IG-APP,descobriment,IG,perfil @cbgrupbarna,2,clubs grans
K123,basquet sant marti,ca,IG-APP,descobriment,IG,perfil @cbgrupbarna,2,clubs del districte
K124,basquet barcelona,ca,TT-APP,descobriment,TT,perfil @cbgrupbarna,1,comptes de highlights + clubs
K125,baloncesto barcelona,es,TT-APP,descobriment,TT,perfil @cbgrupbarna,1,creadors + academies
K126,baloncesto base,es,TT-APP,descobriment,TT,perfil @cbgrupbarna,1,creadors + clubs
K127,campus de baloncesto,es,TT-APP,transaccional,TT,videos de campus,1,campus nacionals + Pau Gasol
K128,baloncesto femenino,es,TT-APP,descobriment,TT,videos femeni,1,jugadores + lligues
K129,entrenamiento baloncesto ninos,es,TT-APP,informacional,TT,videos d'entreno,1,entrenadors creadors
K130,jugadas baloncesto ninos,es,TT-APP,descobriment,TT,videos de partit,2,comptes de highlights
K131,club de baloncesto barcelona,es,TT-APP,descobriment,TT,perfil @cbgrupbarna,2,clubs grans
K132,baloncesto inclusivo,es,TT-APP,descobriment,TT,videos de Magics,2,entitats adaptades
K133,3x3 baloncesto,es,TT-APP,descobriment,TT,videos de 3x3,2,FEB + torneigs
K134,cb grup barna,ca,TT-APP,marca,TT,perfil @cbgrupbarna,1,comptes d'equips
K135,basquet clot,ca,TT-APP,descobriment,TT,perfil @cbgrupbarna,2,entitats del barri
K136,a quin club de basquet apunto la meva filla a Barcelona,ca,IA-PROMPT,descobriment,IA,/basquet-femeni/,1,clubs que les IA citin
K137,mejor club de baloncesto base en Barcelona,es,IA-PROMPT,comparacio,IA,/,1,clubs que les IA citin
K138,clubs de basquet a Barcelona amb equip femeni fort,ca,IA-PROMPT,comparacio,IA,/basquet-femeni/,1,clubs de LF2 i Copa Catalunya
K139,donde apuntar a un nino de 5 anos a baloncesto en Barcelona,es,IA-PROMPT,transaccional,IA,/escoleta/,1,escoles + clubs
K140,campus de baloncesto en Barcelona para el verano,es,IA-PROMPT,transaccional,IA,/campus/,1,campus nacionals
K141,clubs de basquet inclusius a Barcelona,ca,IA-PROMPT,descobriment,IA,/magics/,1,entitats adaptades
K142,es fiable el CB Grup Barna,ca,IA-PROMPT,verificacio,IA,/opina/,1,ressenyes + premsa
K143,que clubs de basquet de Barcelona tenen paritat,ca,IA-PROMPT,comparacio,IA,/premidonaesport/,1,clubs + institucions
K144,club de basquet al districte de Sant Marti,ca,IA-PROMPT,descobriment,IA,/,1,clubs del districte
K145,quiero patrocinar un club de baloncesto en Barcelona,es,IA-PROMPT,transaccional,IA,/patrocinadors/,2,agencies + clubs
