id,keyword,idioma,plataforma,data,sortim_si_no,posicio_barna,url_o_perfil_nostre,rival_1,rival_2,rival_3,captura,notes
K014,basquet Sant Marti,ca,IA,,,,,,,,,
K015,baloncesto Sant Marti Barcelona,es,G,,,,,,,,,
K015,baloncesto Sant Marti Barcelona,es,IA,,,,,,,,,
K016,baloncesto El Clot,es,G,,,,,,,,,
K016,baloncesto El Clot,es,IA,,,,,,,,,
K017,basquet Poblenou,ca,G,,,,,,,,,
K018,basquet Glories,ca,G,,,,,,,,,
K018,basquet Glories,ca,IG,,,,,,,,,
K019,clubs esportius Sant Marti,ca,G,,,,,,,,,
K019,clubs esportius Sant Marti,ca,IA,,,,,,,,,
K020,esport per a nens al Clot,ca,G,,,,,,,,,
K020,esport per a nens al Clot,ca,IA,,,,,,,,,
K021,escola de basquet Barcelona,ca,G,,,,,,,,,
K021,escola de basquet Barcelona,ca,IA,,,,,,,,,
K022,escoleta de basquet Barcelona,ca,G,,,,,,,,,
K022,escoleta de basquet Barcelona,ca,IA,,,,,,,,,
K023,basquet per a nens 4 anys Barcelona,ca,G,,,,,,,,,
K023,basquet per a nens 4 anys Barcelona,ca,IA,,,,,,,,,
K024,basquet per a nenes 5 anys Barcelona,ca,G,,,,,,,,,
K024,basquet per a nenes 5 anys Barcelona,ca,IA,,,,,,,,,
K025,iniciacio al basquet Barcelona,ca,G,,,,,,,,,
K025,iniciacio al basquet Barcelona,ca,IA,,,,,,,,,
K026,escuela de baloncesto Barcelona,es,G,,,,,,,,,
K026,escuela de baloncesto Barcelona,es,IA,,,,,,,,,
K027,escuela de baloncesto para ninos Barcelona,es,G,,,,,,,,,
K027,escuela de baloncesto para ninos Barcelona,es,IA,,,,,,,,,
K028,baloncesto para ninos de 4 anos Barcelona,es,G,,,,,,,,,
K028,baloncesto para ninos de 4 anos Barcelona,es,IA,,,,,,,,,
K029,baloncesto infantil Barcelona,es,G,,,,,,,,,
K029,baloncesto infantil Barcelona,es,IG,,,,,,,,,
K029,baloncesto infantil Barcelona,es,IA,,,,,,,,,
K030,apuntar a mi hijo a baloncesto Barcelona,es,G,,,,,,,,,
K030,apuntar a mi hijo a baloncesto Barcelona,es,IA,,,,,,,,,
K031,apuntar a mi hija a baloncesto Barcelona,es,G,,,,,,,,,
K031,apuntar a mi hija a baloncesto Barcelona,es,IA,,,,,,,,,
K032,basketball school Barcelona kids,en,G,,,,,,,,,
K032,basketball school Barcelona kids,en,IA,,,,,,,,,
K033,academia de basquet Barcelona,ca,G,,,,,,,,,
K033,academia de basquet Barcelona,ca,IA,,,,,,,,,
K034,academia de baloncesto Barcelona,es,G,,,,,,,,,
K034,academia de baloncesto Barcelona,es,IA,,,,,,,,,
K035,academia de baloncesto en Barcelona precio,es,G,,,,,,,,,
K035,academia de baloncesto en Barcelona precio,es,IA,,,,,,,,,
K036,tecnificacio basquet Barcelona,ca,G,,,,,,,,,
K036,tecnificacio basquet Barcelona,ca,IA,,,,,,,,,
K037,tecnificacion baloncesto Barcelona,es,G,,,,,,,,,
K037,tecnificacion baloncesto Barcelona,es,IA,,,,,,,,,
K038,escola club o academia de basquet,ca,G,,,,,,,,,
K038,escola club o academia de basquet,ca,IA,,,,,,,,,
K039,campus de basquet Barcelona,ca,G,,,,,,,,,
K039,campus de basquet Barcelona,ca,IG,,,,,,,,,
K039,campus de basquet Barcelona,ca,TT,,,,,,,,,
K039,campus de basquet Barcelona,ca,IA,,,,,,,,,
K040,campus de baloncesto Barcelona,es,G,,,,,,,,,
K040,campus de baloncesto Barcelona,es,IG,,,,,,,,,
K040,campus de baloncesto Barcelona,es,TT,,,,,,,,,
K040,campus de baloncesto Barcelona,es,IA,,,,,,,,,
K041,campus basquet estiu Barcelona,ca,G,,,,,,,,,
K041,campus basquet estiu Barcelona,ca,IA,,,,,,,,,
K042,campus baloncesto verano Barcelona,es,G,,,,,,,,,
K042,campus baloncesto verano Barcelona,es,IA,,,,,,,,,
K043,campus baloncesto ninos Barcelona,es,G,,,,,,,,,
K043,campus baloncesto ninos Barcelona,es,IA,,,,,,,,,
K044,casal esportiu estiu Barcelona basquet,ca,G,,,,,,,,,
K044,casal esportiu estiu Barcelona basquet,ca,IA,,,,,,,,,
K045,campus baloncesto Barcelona precio,es,G,,,,,,,,,
K045,campus baloncesto Barcelona precio,es,IA,,,,,,,,,
K046,com triar un campus de basquet,ca,G,,,,,,,,,
K046,com triar un campus de basquet,ca,IA,,,,,,,,,
K047,basquet femeni Barcelona,ca,G,,,,,,,,,
K047,basquet femeni Barcelona,ca,IG,,,,,,,,,
K047,basquet femeni Barcelona,ca,TT,,,,,,,,,
K047,basquet femeni Barcelona,ca,IA,,,,,,,,,
K048,baloncesto femenino Barcelona,es,G,,,,,,,,,
K048,baloncesto femenino Barcelona,es,IG,,,,,,,,,
K048,baloncesto femenino Barcelona,es,TT,,,,,,,,,
K048,baloncesto femenino Barcelona,es,IA,,,,,,,,,
K049,club de basquet femeni Barcelona,ca,G,,,,,,,,,
K049,club de basquet femeni Barcelona,ca,IA,,,,,,,,,
K050,basquet per a nenes Barcelona,ca,G,,,,,,,,,
K050,basquet per a nenes Barcelona,ca,IA,,,,,,,,,
K051,baloncesto para ninas Barcelona,es,G,,,,,,,,,
K051,baloncesto para ninas Barcelona,es,IA,,,,,,,,,
K052,equip femeni de basquet Barcelona,ca,G,,,,,,,,,
K052,equip femeni de basquet Barcelona,ca,IA,,,,,,,,,
K053,clubs amb seccio femenina Barcelona,ca,G,,,,,,,,,
K053,clubs amb seccio femenina Barcelona,ca,IA,,,,,,,,,
K054,paritat en clubs esportius,ca,G,,,,,,,,,
K054,paritat en clubs esportius,ca,IA,,,,,,,,,
K055,womens basketball Barcelona,en,G,,,,,,,,,
K055,womens basketball Barcelona,en,IA,,,,,,,,,
K056,el metode Barna,ca,G,,,,,,,,,
K056,el metode Barna,ca,IA,,,,,,,,,
K057,basquet inclusiu Barcelona,ca,G,,,,,,,,,
K057,basquet inclusiu Barcelona,ca,IA,,,,,,,,,
K058,baloncesto inclusivo Barcelona,es,G,,,,,,,,,
K058,baloncesto inclusivo Barcelona,es,IA,,,,,,,,,
K059,basquet per a persones amb discapacitat intel-lectual,ca,G,,,,,,,,,
K059,basquet per a persones amb discapacitat intel-lectual,ca,IA,,,,,,,,,
K060,baloncesto adaptado Barcelona,es,G,,,,,,,,,
K060,baloncesto adaptado Barcelona,es,IA,,,,,,,,,
K061,Barna Magics,ca,G,,,,,,,,,
K061,Barna Magics,ca,IG,,,,,,,,,
K061,Barna Magics,ca,IA,,,,,,,,,
K062,esport inclusiu Sant Marti,ca,G,,,,,,,,,
K062,esport inclusiu Sant Marti,ca,IA,,,,,,,,,
K063,3x3 Barcelona,ca,G,,,,,,,,,
K063,3x3 Barcelona,ca,IG,,,,,,,,,
K063,3x3 Barcelona,ca,TT,,,,,,,,,
K063,3x3 Barcelona,ca,IA,,,,,,,,,
K064,torneig 3x3 basquet Barcelona,ca,G,,,,,,,,,
K064,torneig 3x3 basquet Barcelona,ca,IA,,,,,,,,,
K065,torneo 3x3 baloncesto Barcelona,es,G,,,,,,,,,
K065,torneo 3x3 baloncesto Barcelona,es,IA,,,,,,,,,
K066,basquet 3x3 Glories,ca,G,,,,,,,,,
K066,basquet 3x3 Glories,ca,IG,,,,,,,,,
K067,que es el basquet 3x3,ca,G,,,,,,,,,
K067,que es el basquet 3x3,ca,IA,,,,,,,,,
K068,reglas baloncesto 3x3,es,G,,,,,,,,,
K068,reglas baloncesto 3x3,es,IA,,,,,,,,,
K069,CB Grup Barna,ca,G,,,,,,,,,
K069,CB Grup Barna,ca,IG,,,,,,,,,
K069,CB Grup Barna,ca,TT,,,,,,,,,
K069,CB Grup Barna,ca,IA,,,,,,,,,
K070,Grup Barna basquet,ca,G,,,,,,,,,
K070,Grup Barna basquet,ca,IA,,,,,,,,,
K071,Club Basquet Grup Barna,ca,G,,,,,,,,,
K071,Club Basquet Grup Barna,ca,IA,,,,,,,,,
K072,CB Grup Barna opiniones,es,G,,,,,,,,,
K072,CB Grup Barna opiniones,es,IA,,,,,,,,,
K073,CB Grup Barna ressenyes,ca,G,,,,,,,,,
K073,CB Grup Barna ressenyes,ca,IA,,,,,,,,,
K074,CB Grup Barna equips,ca,G,,,,,,,,,
K074,CB Grup Barna equips,ca,IA,,,,,,,,,
K075,CB Grup Barna campus,ca,G,,,,,,,,,
K075,CB Grup Barna campus,ca,IA,,,,,,,,,
K076,CB Grup Barna escoleta,ca,G,,,,,,,,,
K076,CB Grup Barna escoleta,ca,IA,,,,,,,,,
K077,CB Grup Barna partits,ca,G,,,,,,,,,
K077,CB Grup Barna partits,ca,IA,,,,,,,,,
K078,cbgrupbarna,ca,G,,,,,,,,,
K078,cbgrupbarna,ca,IG,,,,,,,,,
K078,cbgrupbarna,ca,TT,,,,,,,,,
K079,es bo el CB Grup Barna,ca,IA,,,,,,,,,
K080,que tal es el CB Grup Barna,es,IA,,,,,,,,,
K081,a quina edat comencar a jugar a basquet,ca,G,,,,,,,,,
K081,a quina edat comencar a jugar a basquet,ca,IA,,,,,,,,,
K082,a que edad empezar baloncesto,es,G,,,,,,,,,
K082,a que edad empezar baloncesto,es,IA,,,,,,,,,
K083,com triar un club de basquet per al meu fill,ca,G,,,,,,,,,
K083,com triar un club de basquet per al meu fill,ca,IA,,,,,,,,,
K084,como elegir club de baloncesto para mi hijo,es,G,,,,,,,,,
K084,como elegir club de baloncesto para mi hijo,es,IA,,,,,,,,,
K085,per que les noies deixen el basquet,ca,G,,,,,,,,,
K085,per que les noies deixen el basquet,ca,IA,,,,,,,,,
K086,por que las ninas dejan el deporte,es,G,,,,,,,,,
K086,por que las ninas dejan el deporte,es,IA,,,,,,,,,
K087,equipacio femenina de basquet,ca,G,,,,,,,,,
K087,equipacio femenina de basquet,ca,IA,,,,,,,,,
K088,entrenadores de basquet a Barcelona,ca,G,,,,,,,,,
K088,entrenadores de basquet a Barcelona,ca,IA,,,,,,,,,
K089,club de basquet segur per a menors,ca,G,,,,,,,,,
K089,club de basquet segur per a menors,ca,IA,,,,,,,,,
K090,proteccio del menor en un club esportiu,ca,G,,,,,,,,,
K090,proteccio del menor en un club esportiu,ca,IA,,,,,,,,,
K091,LOPIVI club esportiu,ca,G,,,,,,,,,
K091,LOPIVI club esportiu,ca,IA,,,,,,,,,
K092,delegat de proteccio del menor,ca,G,,,,,,,,,
K092,delegat de proteccio del menor,ca,IA,,,,,,,,,
K093,basquet base al Clot i Sant Marti,ca,G,,,,,,,,,
K093,basquet base al Clot i Sant Marti,ca,IA,,,,,,,,,
K094,basquet femeni a Barcelona dades,ca,G,,,,,,,,,
K094,basquet femeni a Barcelona dades,ca,IA,,,,,,,,,
K095,calendari partits basquet base Barcelona,ca,G,,,,,,,,,
K095,calendari partits basquet base Barcelona,ca,IA,,,,,,,,,
K096,resultats basquet base Catalunya,ca,G,,,,,,,,,
K096,resultats basquet base Catalunya,ca,IA,,,,,,,,,
K097,Supercopa Catalunya basquet,ca,G,,,,,,,,,
K097,Supercopa Catalunya basquet,ca,IA,,,,,,,,,
K098,partits de basquet base en directe,ca,G,,,,,,,,,
K098,partits de basquet base en directe,ca,IA,,,,,,,,,
K099,calendari equip cadet femeni Barcelona,ca,G,,,,,,,,,
K100,patrocinar un club esportiu a Barcelona,ca,G,,,,,,,,,
K100,patrocinar un club esportiu a Barcelona,ca,IA,,,,,,,,,
K101,patrocinio deportivo Barcelona,es,G,,,,,,,,,
K101,patrocinio deportivo Barcelona,es,IA,,,,,,,,,
K102,com patrocinar un club de basquet,ca,G,,,,,,,,,
K102,com patrocinar un club de basquet,ca,IA,,,,,,,,,
K103,publicitat en clubs esportius de barri,ca,G,,,,,,,,,
K103,publicitat en clubs esportius de barri,ca,IA,,,,,,,,,
K104,col-laborar amb un club esportiu Sant Marti,ca,G,,,,,,,,,
K104,col-laborar amb un club esportiu Sant Marti,ca,IA,,,,,,,,,
K105,Premi Dona i Esport,ca,G,,,,,,,,,
K105,Premi Dona i Esport,ca,IA,,,,,,,,,
K106,clubs de basquet amb paritat real,ca,G,,,,,,,,,
K106,clubs de basquet amb paritat real,ca,IA,,,,,,,,,
K107,historia del basquet al Clot,ca,G,,,,,,,,,
K107,historia del basquet al Clot,ca,IA,,,,,,,,,
K108,entitats esportives del districte de Sant Marti,ca,G,,,,,,,,,
K108,entitats esportives del districte de Sant Marti,ca,IA,,,,,,,,,
K109,60 anys club de basquet Barcelona,ca,G,,,,,,,,,
K109,60 anys club de basquet Barcelona,ca,IA,,,,,,,,,
K110,basquet barcelona,ca,IG,,,,,,,,,
K111,baloncesto barcelona,es,IG,,,,,,,,,
K112,basquet clot,ca,IG,,,,,,,,,
K113,basquet base,ca,IG,,,,,,,,,
K114,basquet femeni,ca,IG,,,,,,,,,
K115,baloncesto femenino,es,IG,,,,,,,,,
K116,campus basquet,ca,IG,,,,,,,,,
K117,escola basquet nens,ca,IG,,,,,,,,,
K118,basquet inclusiu,ca,IG,,,,,,,,,
K119,3x3 barcelona,ca,IG,,,,,,,,,
K120,somclot,ca,IG,,,,,,,,,
K121,cb grup barna,ca,IG,,,,,,,,,
K122,club basquet barcelona,ca,IG,,,,,,,,,
K123,basquet sant marti,ca,IG,,,,,,,,,
K124,basquet barcelona,ca,TT,,,,,,,,,
K125,baloncesto barcelona,es,TT,,,,,,,,,
K126,baloncesto base,es,TT,,,,,,,,,
K127,campus de baloncesto,es,TT,,,,,,,,,
K128,baloncesto femenino,es,TT,,,,,,,,,
K129,entrenamiento baloncesto ninos,es,TT,,,,,,,,,
K130,jugadas baloncesto ninos,es,TT,,,,,,,,,
K131,club de baloncesto barcelona,es,TT,,,,,,,,,
K132,baloncesto inclusivo,es,TT,,,,,,,,,
K133,3x3 baloncesto,es,TT,,,,,,,,,
K134,cb grup barna,ca,TT,,,,,,,,,
K135,basquet clot,ca,TT,,,,,,,,,
K136,a quin club de basquet apunto la meva filla a Barcelona,ca,IA,,,,,,,,,
K137,mejor club de baloncesto base en Barcelona,es,IA,,,,,,,,,
K138,clubs de basquet a Barcelona amb equip femeni fort,ca,IA,,,,,,,,,
K139,donde apuntar a un nino de 5 anos a baloncesto en Barcelona,es,IA,,,,,,,,,
K140,campus de baloncesto en Barcelona para el verano,es,IA,,,,,,,,,
K141,clubs de basquet inclusius a Barcelona,ca,IA,,,,,,,,,
K142,es fiable el CB Grup Barna,ca,IA,,,,,,,,,
K143,que clubs de basquet de Barcelona tenen paritat,ca,IA,,,,,,,,,
K144,club de basquet al districte de Sant Marti,ca,IA,,,,,,,,,
K145,quiero patrocinar un club de baloncesto en Barcelona,es,IA,,,,,,,,,
